epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3482.1,0.48983,0.67026,1.05601,0.90815,0.57865,0.71107,0.66551,0.61745,0.58263,0.7175,0.67682,0.61485,0.39561,0.60612,0.94837,0.89218,0.0076075,0.0076075,0.0076075
31,3584.99,0.48681,0.65365,1.043,0.91159,0.53309,0.74598,0.65222,0.60262,0.53739,0.75015,0.66185,0.5979,0.38852,0.60093,0.97999,0.89654,0.007525,0.007525,0.007525
32,3730.36,0.48649,0.6709,1.05284,0.9113,0.59197,0.71376,0.65291,0.6,0.59671,0.71933,0.66255,0.59644,0.40994,0.56643,0.96977,0.91601,0.0074425,0.0074425,0.0074425
33,3833.82,0.49826,0.70086,1.06644,0.91611,0.5641,0.75692,0.68025,0.62815,0.56802,0.76472,0.68877,0.626,0.38198,0.58811,0.93196,0.88175,0.00736,0.00736,0.00736
34,3954.07,0.49316,0.69471,1.04372,0.9112,0.51501,0.79784,0.67293,0.62188,0.51952,0.79913,0.68295,0.62163,0.39885,0.56723,1.01444,0.89394,0.0072775,0.0072775,0.0072775
35,4057.4,0.48814,0.68154,1.04086,0.91629,0.47812,0.71903,0.56974,0.52202,0.48072,0.72674,0.57723,0.51536,0.37882,0.58628,1.11942,0.88155,0.007195,0.007195,0.007195
36,4178.88,0.46965,0.67335,1.01899,0.90365,0.55758,0.78115,0.68139,0.63022,0.56052,0.78717,0.69208,0.6265,0.39456,0.59883,0.90821,0.89374,0.0071125,0.0071125,0.0071125
37,4281.77,0.4806,0.68994,1.03455,0.91038,0.57713,0.7534,0.66679,0.61739,0.58106,0.75854,0.67723,0.60987,0.38322,0.54984,0.95041,0.88565,0.00703,0.00703,0.00703
38,4385.15,0.47825,0.65243,1.02639,0.90907,0.59115,0.74089,0.68922,0.64137,0.59446,0.74497,0.69945,0.6367,0.38371,0.55576,0.93941,0.8856,0.0069475,0.0069475,0.0069475
39,4504.23,0.48328,0.63843,1.04273,0.91205,0.5889,0.7061,0.66852,0.62322,0.59431,0.71039,0.67905,0.61875,0.36895,0.54668,0.9716,0.88451,0.006865,0.006865,0.006865
